ID;PUNTO DE MEDICION;ESTADO;FECHA;DIAF;MESF;ANOF;HORA;HORARIO;CAUDAL ACUMULADO ANTERIOR;CAUDAL ACUMULADO;LECTURA MES ANTERIOR;LECTURA REGISTRO;INSTRUMENTO
SIM19;Cruz Roja Bunt Planet;Estación Fuera de Operación Definitiva;1/6/22;1;6;2022;;AM;;;;; MA 
SIM53;Entrada al Tanque San Francisco (T4);Operacion Correcta;1/6/22;1;6;2022;8:01:00 a. m.;AM;465.603,00;495.694,00;14,39;12,01; MA 
SRM01;"Presa Concepción Cieneguita  (Cienega Norte) (4"")";Operacion Correcta;1/6/22;1;6;2022;10:50:00 a. m.;AM;2.086.570,00;2.154.075,00;26,75;26,5; MA 
SRM48;Caja a la Entrada de T Cienega Sur Nuevo;Operacion Correcta;1/6/22;1;6;2022;10:35:00 a. m.;AM;1.266.563,00;1.313.061,00;21,23;20,61; MA 
SRM49;Caja a la Entrada de T Cienega Sur Nuevo;Operacion Correcta;1/6/22;1;6;2022;10:40:00 a. m.;AM;27.315,00;57.991,00;  ;14,56; MA 
SRM11;Tanque ChamacoEntrada del Tirol;Operacion Correcta;1/6/22;1;6;2022;7:54:00 a. m.;AM;1.794.541,30;1.915.174,00;20,14;53,51; MA 
SRM07;"Cond Tanq. Chaverri T 90 Linea I  (8"")";Macromedidor en mal estado;1/6/22;1;6;2022;7:50:00 a. m.;AM;12.869.878,00;;47,26;; MA 
SRM08;"Cond Tanq. Chaverri T90 Linea II  (8"")";Operacion Correcta;1/6/22;1;6;2022;9:10:00 a. m.;AM;9.580.350,00;9.713.804,00;37,55;52,16; MA 
SRM09;"Chaverri cinlindrico 90 Final ( 8"" )";Linea fuera de Operación;1/6/22;1;6;2022;9:11:00 a. m.;AM;529.299,89;;  ;; MA 
SRM42;"Conducción Noventa a Palmar (4"")";Operacion Correcta;1/6/22;1;6;2022;9:15:00 a. m.;AM;799.625,58;832.165,51;16,78;16,1; MA 
SRM05;"Vertedero Tanque Noventa (18"") (Intrusivo)";Operacion Correcta;1/6/22;1;6;2022;9:16:00 a. m.;AM;;;;; MA 
;Iris Hernández;Operacion Correcta;1/6/22;1;6;2022;;AM;57.817,00;94.408,00;5,38;18,46; M1  
PEND;Derivación ASADA San Pedro de Barva;Macromedidor en mal estado;1/6/22;1;6;2022;;AM;;;;; M2  
BM09;Botho Steinvorth;Operacion Correcta;1/6/22;1;6;2022;1:33:00 p. m.;PM;2.820.912,09;2.872.877,70;;93,26; MA 
BM08;Llegada de las 29 al Tanque Steinvorth;Operacion Correcta;1/6/22;1;6;2022;1:29:00 p. m.;PM;1.817.626,00;1.846.252,00;11,77;11,38; MA 
BM21;"Conducción Flores al Tirol (8"") Saliendo";Macromedidor en mal estado;3/6/22;3;6;2022;3:30:00 p. m.;PM;4.855.063,10;4.855.063,10;62,09;65,56; MA 
